Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
286,discourse/discourse,37478,10.15,17583,0,0,Ruby,0
287,PowerShell/PowerShell,37451,7.15,6090,136,0,C#,0.7
288,rclone/rclone,37368,8.97,1452,90,0,Go,0.84
289,isocpp/CppCoreGuidelines,37240,7.55,759,4,0,Python,0.81
290,grpc/grpc,37227,8.24,17442,240,0,C++,0.94
291,impress/impress.js,37131,11.19,115,15,0,JavaScript,0.89
292,pandas-dev/pandas,37123,12.53,21577,93,0,Python,0.85
293,Leaflet/Leaflet,36990,12.45,2765,30,0,JavaScript,0.93
294,yangshun/front-end-interview-handbook,36849,5.14,220,0,0,JavaScript,0.85
295,faif/python-patterns,36748,10.75,262,0,0,Python,0.89
296,GitSquared/edex-ui,36719,6.1,399,29,0,JavaScript,0.99
297,fastlane/fastlane,36697,8.26,5975,530,0,Ruby,0.98
298,vuetifyjs/vuetify,36625,6.48,3270,462,0,TypeScript,0.9
299,google/zx,36572,1.84,104,55,0,JavaScript,0.92
300,FreeCodeCampChina/freecodecamp.cn,36498,6.43,55,0,0,CSS,0.76
301,BurntSushi/ripgrep,36431,6.99,451,66,0,Rust,0.9
302,hashicorp/terraform,36410,8.98,10526,238,0,Go,0.92
303,hexojs/hexo,36294,10.45,833,107,0,JavaScript,0.98
304,alex/what-happens-when,36209,9.33,108,0,0,Unkutcnown,0.21
305,PhilJay/MPAndroidChart,36198,8.87,190,44,0,Java,0.59
306,youngyangyang04/leetcode-master,36170,3.23,1606,0,0,Shell,0.32
307,agalwood/Motrix,36047,4.22,144,14,0,JavaScript,0.45
308,wagoodman/dive,35980,4.82,115,24,0,Go,0.54
309,ultralytics/yolov5,35963,2.8,1894,10,0,Python,0.97
310,streamich/react-use,35936,4.36,1494,249,0,TypeScript,0.42
311,vuejs/core,35845,4.73,1880,137,0,TypeScript,0.85
312,nektos/act,35702,4.18,632,52,0,Go,0.89
